adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/srgd2QM79XO2wfabFYQgnMwIjIv.jpg,"{'id': 225941, 'name': 'The Amazing Spider-Man TV Collection', 'poster_path': '/w36EVLGahaKWivtGeXnLsEXhOCO.jpg', 'backdrop_path': '/rkVIb2JS3C2DBtjX8szbg37Qwff.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10770, 'name': 'TV Movie'}]",,225925,tt0078308,en,Spider-Man Strikes Back,"At the New York State University, one of Peter Parker's tutors has accidentally given three students all the materials they need to create an atomic bomb. While Peter Parker tries to find out what's happened, the police suspect him of the crime, and Peter has to deal with an attractive journalist determined to get an interview with Spider-Man. Then dastardly millionaire Mr. White shows up, and will stop at nothing to get his hands on the atomic bomb. Spider-Man must defeat this scheming villain and stop him blowing up the World Trade Centre.",5.013,/fb5R5DUOT4NfhZn8903c1gYGHJz.jpg,"[{'id': 19683, 'logo_path': None, 'name': 'Charles Fries Productions', 'origin_country': ''}, {'id': 1081, 'logo_path': '/vfcpaPf6WktaCIHqF4FJAcek8q2.png', 'name': 'CBS Television Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1978-12-21,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Deadly Dust,Spider-Man Strikes Back,False,4.7,24
False,/ppehJ5HlIcqFpH9erwjwFGKdIoe.jpg,"{'id': 573436, 'name': 'Spider-Man: Spider-Verse Collection', 'poster_path': '/eD4bGQNfmqExIAzKdvX5gDHhI2.jpg', 'backdrop_path': '/14F6gMaRjzgsN6EEpiwH87R1I00.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,569094,tt9362722,en,Spider-Man: Into the Spider-Verse Sequel,A sequel to Spider-Man: Into the Spider Verse.,7.181,/8ycplQbTU6DRRwiG95lQEpYkOVg.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 2251, 'logo_path': '/6l16UFSkZ1oPpyBYaILgffFZlTc.png', 'name': 'Sony Pictures Animation', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 77973, 'logo_path': None, 'name': 'Lord Miller', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/XmHMPGzdI5c4WGX1YlxU4s2v7T.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-10-06,0,0,"[{'iso_639_1': 'en', 'name': 'English'}]",In Production,,Spider-Man: Into the Spider-Verse Sequel,False,0.0,0
False,/aMqSuMYZ9L3wOPq19vbb5FEv2Uf.jpg,"{'id': 125574, 'name': 'The Amazing Spider-Man Collection', 'poster_path': '/68CqVxCH14br7EHFu67peDDjZX9.jpg', 'backdrop_path': '/aLrNTcLN2kDu9jAJ4tS5haiWGc6.jpg'}",215000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://www.theamazingspiderman.com,1930,tt0948470,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",34.222,/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,"[{'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 326, 'logo_path': None, 'name': 'Laura Ziskin Productions', 'origin_country': ''}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-06-23,757930663,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The untold story begins.,The Amazing Spider-Man,False,6.5,11973
False,,"{'id': 531241, 'name': 'Spider-Man (Avengers) Collection', 'poster_path': '/nogV4th2P5QWYvQIMiWHj4CFLU9.jpg', 'backdrop_path': '/zh72eVJTD5EssStCsNHqELuh6uD.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",,634649,tt10872600,en,Untitled Spider-Man Sequel,"Sony Pictures Entertainment and The Walt Disney Company jointly announced that Marvel Studios and its President Kevin Feige will produce the third film in the ""Spider-Man: Homecoming"" series, starring Tom Holland. The film is scheduled to release on July 16, 2021.  The third film will see Peter Parker deal with the aftermath of Quentin Beck outing him as Spider-man, but also to deal with a familiar old foe who has joined a group of ""Sinister Six"" villains.",20.669,/4dS40km5rcd4udAGJheU18ZeSfi.jpg,"[{'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/XmHMPGzdI5c4WGX1YlxU4s2v7T.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-11-04,0,0,"[{'iso_639_1': 'en', 'name': 'English'}]",Planned,,Untitled Spider-Man Sequel,False,0.0,0
False,/uZRQgumqHdVqnaflAsJqu8NzjEA.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",,112679,tt2705436,it,Italian Spiderman,This is an Australian-made parody of Italian action–adventure films of the 60s and 70s. and foreign movies that misappropriated popular American superheroes such as the Japanese TV series “Spider-Man”. This is an Italian take on the comic book superhero Spider-Man.,1.956,/nDufONG8knjkEon7wJVnVHBXzDH.jpg,"[{'id': 123754, 'logo_path': None, 'name': 'Alrugo Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2007-11-08,0,40,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Actione Terrore Suspenso SPIDER!,Italian Spiderman,False,7.7,19
False,/jHxCeXnSchAuwHnmVatTgqMYdX8.jpg,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/bp5PqLa06QA1LsELA1SsKZ008H7.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",139000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.sonypictures.com/movies/spider-man/,557,tt0145487,en,Spider-Man,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers to become the Amazing superhero known as Spider-Man.",44.905,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,"[{'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-05-01,821708551,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Go for the Ultimate Spin.,Spider-Man,False,7.1,12129
False,/6al048Lat3eLVQOuKtc9h6Tu94d.jpg,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/bp5PqLa06QA1LsELA1SsKZ008H7.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://www.sonypictures.com/movies/spider-man2/,558,tt0316654,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",18.048,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,"[{'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 326, 'logo_path': None, 'name': 'Laura Ziskin Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-06-25,783766341,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,There's a hero in all of us.,Spider-Man 2,False,7.1,9794
False,/6MQmtWk4cFwSDyNvIgoJRBIHUT3.jpg,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/bp5PqLa06QA1LsELA1SsKZ008H7.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",258000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",https://www.sonypictures.com/movies/spiderman3,559,tt0413300,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",36.824,/2jLxKF73SAPkyhIWrnv67IH7kJ1.jpg,"[{'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 326, 'logo_path': None, 'name': 'Laura Ziskin Productions', 'origin_country': ''}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-05-01,890871626,139,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,You want forgiveness? Get religion.,Spider-Man 3,False,6.2,8778
False,/5myQbDzw3l8K9yofUXRJ4UTVgam.jpg,"{'id': 531241, 'name': 'Spider-Man (Avengers) Collection', 'poster_path': '/nogV4th2P5QWYvQIMiWHj4CFLU9.jpg', 'backdrop_path': '/zh72eVJTD5EssStCsNHqELuh6uD.jpg'}",160000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/spider-man-far-from-home,429617,tt6320628,en,Spider-Man: Far from Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",63.987,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/XmHMPGzdI5c4WGX1YlxU4s2v7T.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 86561, 'logo_path': None, 'name': 'Stereo D', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-06-28,1131927996,129,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,It’s time to step up.,Spider-Man: Far from Home,False,7.5,7874
False,,,0,[],,68658,tt0100669,en,Spiderman,,0.6,,[],"[{'iso_3166_1': 'CH', 'name': 'Switzerland'}]",1990-01-01,0,5,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Spiderman,False,6.8,6
